[t,Sku,Regular Price,Stock,Image URL,On Ebay,Group,Person Name,C:Team,C:League
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0434),AidraF1302018RY0434,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0434.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,13,Aidra Fox,tsrc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0435),AidraF1302018RY0435,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0435.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,13,Aidra Fox,tsrc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0436),AidraF1302018RY0436,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0436.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,14,Aidra Fox,tsrbc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0438),AidraF1302018RY0438,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0438.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,14,Aidra Fox,tsrbc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0439),AidraF1302018RY0439,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0439.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,14,Aidra Fox,tsrbc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0440),AidraF1302018RY0440,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0440.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,14,Aidra Fox,tsrbc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0441),AidraF1302018RY0441,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0441.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,15,Aidra Fox,tsxc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0442),AidraF1302018RY0442,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0442.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,15,Aidra Fox,tsxc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0443),AidraF1302018RY0443,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0443.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,15,Aidra Fox,tsxc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0444),AidraF1302018RY0444,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0444.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,15,Aidra Fox,tsxc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0445),AidraF1302018RY0445,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0445.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,16,Aidra Fox,rc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0446),AidraF1302018RY0446,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0446.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,16,Aidra Fox,rc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0447),AidraF1302018RY0447,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0447.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,16,Aidra Fox,rc3,
Aidra Fox signed model 8x10 Photo -PROOF- -CERTIFICATE- (A0448),AidraF1302018RY0448,17.95,0,https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-1-14-2018_0448.jpg|https://theautographbank.com/wp-content/uploads/2018/01/Aidra-Fox-Proof.jpg,,16,Aidra Fox,rc3,
